length,rapidfuzz
1,2.0000996300950646e-07
5,2.1082989405840636e-07
9,2.1916988771408796e-07
13,2.2584019461646677e-07
17,2.1916988771408796e-07
21,2.3833010345697403e-07
25,2.28749995585531e-07
29,2.4667009711265565e-07
33,2.3041997337713838e-07
37,3.366699093021452e-07
41,3.450000076554716e-07
45,3.445899346843362e-07
49,2.837501233443618e-07
53,3.154200385324657e-07
57,3.6541983718052505e-07
61,3.687501884996891e-07
65,6.412598304450512e-07
69,5.629300721921027e-07
73,5.950100603513419e-07
77,6.812598439864814e-07
81,7.125100819393992e-07
85,7.195898797363042e-07
89,7.395900320261717e-07
93,7.54169886931777e-07
97,7.908398401923477e-07
101,7.82510032877326e-07
105,8.200100273825229e-07
109,7.604301208630204e-07
113,8.466700091958046e-07
117,8.645901107229292e-07
121,8.545900345779956e-07
125,8.254198473878205e-07
129,1.1600099969655275e-06
133,1.166270230896771e-06
137,1.1912701302208007e-06
141,1.2145997607149184e-06
145,1.2475100811570884e-06
149,1.1975099914707243e-06
153,1.3012700947001577e-06
157,1.3233500067144632e-06
161,1.2816800153814257e-06
165,1.3650101027451455e-06
169,1.3783498434349894e-06
173,1.4183498569764196e-06
177,1.452519791200757e-06
181,1.462940126657486e-06
185,1.4533501234836877e-06
189,1.4750100672245025e-06
193,1.931269944179803e-06
197,1.9350301590748133e-06
201,1.9991901353932915e-06
205,1.9504400552250445e-06
209,2.0604400197044013e-06
213,2.0862699602730573e-06
217,2.12084996746853e-06
221,2.1646101959049702e-06
225,2.1783600095659496e-06
229,2.2054399596527218e-06
233,2.1933598327450455e-06
237,2.240439935121685e-06
241,2.2987701231613755e-06
245,2.330029965378344e-06
249,2.359189966227859e-06
253,2.339610073249787e-06
257,2.8321100398898124e-06
261,2.942949940916151e-06
265,2.9825299861840903e-06
269,2.946699969470501e-06
273,2.9883699608035386e-06
277,3.0950299696996808e-06
281,3.1321198912337424e-06
285,3.074200067203492e-06
289,3.1362799927592276e-06
293,3.261289966758341e-06
297,3.2112799817696215e-06
301,3.427949850447476e-06
305,3.280449891462922e-06
309,3.3196198637597264e-06
313,3.5771200782619418e-06
317,3.3571201493032278e-06
321,4.1117198998108505e-06
325,4.438379837665707e-06
329,4.590879834722727e-06
333,4.638800164684653e-06
337,4.70130005851388e-06
341,4.736300033982843e-06
345,4.77755005704239e-06
349,4.971300077158958e-06
353,5.83048997214064e-06
357,5.521730054169894e-06
361,5.447560106404125e-06
365,5.314220034051686e-06
369,5.209230002947152e-06
373,5.264219944365323e-06
377,5.162979941815138e-06
381,5.207970098126679e-06
385,6.1933998949825765e-06
389,6.096730066929012e-06
393,6.162990175653249e-06
397,6.217150075826794e-06
401,6.433409871533513e-06
405,6.574660073965788e-06
409,6.558820023201406e-06
413,6.640900101047009e-06
417,6.497570138890296e-06
421,6.5404901397414505e-06
425,6.792579952161759e-06
429,6.667989946436137e-06
433,6.66675012325868e-06
437,7.150919991545379e-06
441,7.022159988991916e-06
445,6.8909101537428795e-06
449,7.828839879948646e-06
453,7.93633982539177e-06
457,8.157999836839735e-06
461,8.292179845739156e-06
465,8.280930051114411e-06
469,8.35676008136943e-06
473,8.282170165330172e-06
477,8.238000154960901e-06
481,8.520509873051196e-06
485,8.677179866936058e-06
489,8.500929980073124e-06
493,8.728019893169403e-06
497,8.804679964669049e-06
501,8.831349841784686e-06
505,9.259679936803877e-06
509,9.251349838450552e-06
